Epoch [1/50], Batch: 180 Loss: 0.0458, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 180 Loss: 0.0145, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 190 Loss: 0.2618, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 190 Loss: 0.0540, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 190 Loss: 0.0205, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 190 Loss: 0.0680, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 190 Loss: 0.0936, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 190 Loss: 0.0343, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 190 Loss: 0.0381, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 190 Loss: 0.0802, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 190 Loss: 0.0297, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 200 Loss: 0.2515, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 200 Loss: 0.0479, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 200 Loss: 0.0202, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 200 Loss: 0.0661, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 200 Loss: 0.0556, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 200 Loss: 0.0240, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 200 Loss: 0.0385, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 200 Loss: 0.0616, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 200 Loss: 0.0217, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 210 Loss: 0.2891, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 210 Loss: 0.0516, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 210 Loss: 0.0162, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 210 Loss: 0.0575, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 210 Loss: 0.0474, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 210 Loss: 0.0186, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 210 Loss: 0.0443, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 210 Loss: 0.0466, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 210 Loss: 0.0173, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 220 Loss: 0.2710, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 220 Loss: 0.0564, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 220 Loss: 0.0175, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 220 Loss: 0.0534, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 220 Loss: 0.0419, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 220 Loss: 0.0193, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 220 Loss: 0.0344, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 220 Loss: 0.0409, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 220 Loss: 0.0160, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 230 Loss: 0.2812, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 230 Loss: 0.0631, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 230 Loss: 0.0198, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 230 Loss: 0.0709, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 230 Loss: 0.0449, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 230 Loss: 0.0261, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 230 Loss: 0.0321, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 230 Loss: 0.0394, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 230 Loss: 0.0229, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 240 Loss: 0.2520, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 240 Loss: 0.0355, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 240 Loss: 0.0092, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 240 Loss: 0.0503, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 240 Loss: 0.0344, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 240 Loss: 0.0084, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 240 Loss: 0.0363, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 240 Loss: 0.0265, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 240 Loss: 0.0078, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 250 Loss: 0.2425, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 250 Loss: 0.0489, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 250 Loss: 0.0150, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 250 Loss: 0.0556, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 250 Loss: 0.0446, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 250 Loss: 0.0157, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 250 Loss: 0.0350, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 250 Loss: 0.0383, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 250 Loss: 0.0136, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 260 Loss: 0.2256, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 260 Loss: 0.0439, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 260 Loss: 0.0129, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 260 Loss: 0.0548, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 260 Loss: 0.0534, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 260 Loss: 0.0215, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 260 Loss: 0.0377, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 260 Loss: 0.0405, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 260 Loss: 0.0137, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 270 Loss: 0.2079, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 270 Loss: 0.0564, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 270 Loss: 0.0162, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 270 Loss: 0.0657, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 270 Loss: 0.0618, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 270 Loss: 0.0177, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 270 Loss: 0.0415, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 270 Loss: 0.0764, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 270 Loss: 0.0237, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 280 Loss: 0.2491, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 280 Loss: 0.0496, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 280 Loss: 0.0120, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 280 Loss: 0.0527, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 280 Loss: 0.0336, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 280 Loss: 0.0117, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 280 Loss: 0.0370, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 280 Loss: 0.0332, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 280 Loss: 0.0114, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 290 Loss: 0.2446, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 290 Loss: 0.0509, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 290 Loss: 0.0159, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 290 Loss: 0.0552, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 290 Loss: 0.0433, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 290 Loss: 0.0180, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 290 Loss: 0.0548, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 290 Loss: 0.0432, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 290 Loss: 0.0185, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 300 Loss: 0.2541, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 300 Loss: 0.0474, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 300 Loss: 0.0128, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 300 Loss: 0.0559, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 300 Loss: 0.0419, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 300 Loss: 0.0137, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 300 Loss: 0.0377, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 300 Loss: 0.0316, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 300 Loss: 0.0132, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 310 Loss: 0.2499, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 310 Loss: 0.0471, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 310 Loss: 0.0202, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 310 Loss: 0.0621, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 310 Loss: 0.0397, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 310 Loss: 0.0218, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 310 Loss: 0.0412, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 310 Loss: 0.0451, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 310 Loss: 0.0276, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 320 Loss: 0.2042, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 320 Loss: 0.0379, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 320 Loss: 0.0142, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 320 Loss: 0.0625, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 320 Loss: 0.0312, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 320 Loss: 0.0175, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 320 Loss: 0.0378, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 320 Loss: 0.0298, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 320 Loss: 0.0181, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 330 Loss: 0.1931, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 330 Loss: 0.0343, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 330 Loss: 0.0116, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 330 Loss: 0.0499, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 330 Loss: 0.0503, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 330 Loss: 0.0144, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 330 Loss: 0.0399, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 330 Loss: 0.0366, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 330 Loss: 0.0125, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 340 Loss: 0.2017, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 340 Loss: 0.0439, n.gate: 0, t.gate: GateCNN
